Wijk           role
Txolenbeeck, willem van                             25         252
Flant, Jacob — lakenkooper                           1           3
Elbers, Catharina — wed. Pieter Laurensz            49         452
Elbersz, 'Wed. HendrickK                              59         Ssdv ,
Elberts, Elisabeth                          9        8
Elbinck, Hans Willem — Erven van                    57         351
Elburgh, Joost van der                               2          16v
Eldersz, Wed. Gerrit, molenaer — geb. Elisabeth
Guirijnen                                 9         L58v
Eldersz, Wed. Cornelis                              24         22bv
" , Cornelis — bijeswerm                       35         339
ZElders, Dorek                             Ll       418v
Elderts, Itje — wed. IJsbrant Valkertz               6          S1v
" , Wijntge — witwerkster                       6          54
Eldertsz, Gerrit — tapper                           17         155v
" , Wed. Jacob                                40         379
" , Jan — kistemaker                          46         433
Eldevier, Abraham en voor kinderen                  36         342v
Elgersma, Johannes                                   1           Z
Elginger, Helena                                     8          69v
" , Margareta —                                8          69v
" , Salomon — orlogiemaker                     8          6Sv
Elias, Barent — captein                             22         199
" , Barent                           42      393
" , Zarent — getr. met Petronella Spiegel kinderen van                                 42         5393
" , Darent Pietersz en huisvrouw                 42         393
" , Gerbrant — postmeester op Hamburgh           20         188
" , Gerrit Reijersz — seepsieder                 23         207v
" , Gijsbert                                     25         241
" , Jacob — captein                              19         174v
" , Jacob — erf van                          19        175
" , Jacob — erf van                              42         393
" , Jacob Pietersz — seepsieder                  19         175
" , Jacob Reyertsz                               24         223v
" , Joost — boeckhouder ter adnt                 O        600v
" , Joost Pietersz                              55         521
" , Margarita                                    24         223v
